         50343999 function calls (50336476 primitive calls) in 552.551 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.215    0.013 __init__.py:1(<module>)
        2    0.000    0.000    0.007    0.003 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.094    0.094 __init__.py:101(<module>)
       27    0.000    0.000    0.020    0.001 __init__.py:1056(rc_params_from_file)
        1    0.000    0.000    0.135    0.135 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1070(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
      5/3    0.000    0.000    0.088    0.029 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1120(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1163(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1169(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1175(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1210(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:1221(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1264(rc_context)
       20    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1274(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:1326(Logger)
       21    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1348(is_math_text)
       47    0.000    0.000    0.000    0.000 __init__.py:1357(_to_unmasked_float_array)
       13    0.000    0.000    0.000    0.000 __init__.py:1361(debug)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1404(get_backend)
       18    0.000    0.000    0.000    0.000 __init__.py:142(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:1424(is_interactive)
        2    0.000    0.000    0.005    0.002 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       39    0.000    0.000    0.001    0.000 __init__.py:1563(_add_data_doc)
        6    0.000    0.000    0.000    0.000 __init__.py:1589(<lambda>)
       39    0.000    0.000    0.000    0.000 __init__.py:1598(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        3    0.000    0.000    0.000    0.000 __init__.py:1605(getEffectiveLevel)
       13    0.000    0.000    0.000    0.000 __init__.py:1619(isEnabledFor)
        7    0.000    0.000    0.000    0.000 __init__.py:162(connect)
       11    0.000    0.000    0.000    0.000 __init__.py:1624(safe_first_element)
       39    0.001    0.000    0.006    0.000 __init__.py:1638(param)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1646(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(<listcomp>)
        1    0.000    0.000    0.007    0.007 __init__.py:1732(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:1736(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1745(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1769(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(TimeoutError)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
       22    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:1876(_str_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:1886(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        8    0.000    0.000    0.000    0.000 __init__.py:1896(_define_aliases)
       61    0.000    0.000    0.000    0.000 __init__.py:1916(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:1917(method)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
       21    0.000    0.000    0.000    0.000 __init__.py:1930(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
      236    0.000    0.000    0.000    0.000 __init__.py:1981(_setattr_cm)
      118    0.000    0.000    0.000    0.000 __init__.py:1986(<listcomp>)
        3    0.000    0.000    0.004    0.001 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:2020(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:2021(__init__)
    33/32    0.000    0.000    0.001    0.000 __init__.py:204(process)
        1    0.000    0.000    0.000    0.000 __init__.py:2059(NullHandler)
        1    0.000    0.000    0.025    0.025 __init__.py:206(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
       25    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       25    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
